nlp_Problem_Term,PPL_Id,Snomed_Concept_Id,Snomed_Preferred_Term,UMLS_CUI,Snomed_Description_Id,Snomed_Description,Snomed_Description_Type,ICD9_Code,ICD9_Description,ICD10_Code,ICD10_Description,STY,Excluded,ProblemCategory,Source
Short-sleeper,NULL,192007009,Short-sleeper,C0751509,2668903014,Short-sleeper,1,307.49,Other specific disorders of sleep of nonorganic origin,F51.8,Other sleep disorders not due to a substance or known physiological condition,Disease or Syndrome,N,NULL,MTERMS
:: Polyphagia,NULL,267023007,Excessive eating - polyphagia,C0020505,397864013,:: Polyphagia,2,783.6,Polyphagia,R63.2,Polyphagia,Mental or Behavioral Dysfunction,N,NULL,MTERMS
"45, X",861,38804009,Turner syndrome,C0041408,65088017,"45, X syndrome",2,758.6,Gonadal dysgenesis,Q96.8,Other variants of Turner's syndrome,Disease or Syndrome,N,NULL,MTERMS
"45, X condition",861,38804009,Turner syndrome,C0041408,65088017,"45, X syndrome",2,758.6,Gonadal dysgenesis,Q96.8,Other variants of Turner's syndrome,Disease or Syndrome,N,NULL,MTERMS
"45, X disease",861,38804009,Turner syndrome,C0041408,65088017,"45, X syndrome",2,758.6,Gonadal dysgenesis,Q96.8,Other variants of Turner's syndrome,Disease or Syndrome,N,NULL,MTERMS
"45, X disorder",861,38804009,Turner syndrome,C0041408,65088017,"45, X syndrome",2,758.6,Gonadal dysgenesis,Q96.8,Other variants of Turner's syndrome,Disease or Syndrome,N,NULL,MTERMS
"45, X syndrome",861,38804009,Turner syndrome,C0041408,65088017,"45, X syndrome",2,758.6,Gonadal dysgenesis,Q96.8,Other variants of Turner's syndrome,Disease or Syndrome,N,NULL,MTERMS
45X0 - Turner's condition,861,38804009,Turner syndrome,C0041408,491783015,45X0 - Turner's syndrome,2,758.6,Gonadal dysgenesis,Q96.8,Other variants of Turner's syndrome,Disease or Syndrome,N,NULL,MTERMS
45X0 - Turner's disease,861,38804009,Turner syndrome,C0041408,491783015,45X0 - Turner's syndrome,2,758.6,Gonadal dysgenesis,Q96.8,Other variants of Turner's syndrome,Disease or Syndrome,N,NULL,MTERMS
45X0 - Turner's disorder,861,38804009,Turner syndrome,C0041408,491783015,45X0 - Turner's syndrome,2,758.6,Gonadal dysgenesis,Q96.8,Other variants of Turner's syndrome,Disease or Syndrome,N,NULL,MTERMS
45X0 - Turner's syndrome,861,38804009,Turner syndrome,C0041408,491783015,45X0 - Turner's syndrome,2,758.6,Gonadal dysgenesis,Q96.8,Other variants of Turner's syndrome,Disease or Syndrome,N,NULL,MTERMS
4th nerve palsy,NULL,20610004,Fourth nerve palsy,C0271375,480788018,4th nerve palsy,2,378.53,Fourth or trochlear nerve palsy,H49.1,"Third [oculomotor] nerve palsy, bilateral",Disease or Syndrome,N,NULL,MTERMS
A - alphalipoproteinaemia neuropathy,NULL,15346004,Familial hypoalphalipoproteinemia,C1704429,477327016,A - alphalipoproteinaemia neuropathy,2,272.5,Lipoprotein deficiencies,E78.6,Lipoprotein deficiency,Disease or Syndrome,N,Hyperlipidemia,MTERMS
A - alphalipoproteinemia neuropathy,NULL,15346004,Familial hypoalphalipoproteinemia,C1704429,477328014,A - alphalipoproteinemia neuropathy,2,272.5,Lipoprotein deficiencies,E78.6,Lipoprotein deficiency,Disease or Syndrome,N,Hyperlipidemia,MTERMS
A mass,NULL,300848003,Mass of body structure,C0577559,1226874018,A mass,2,729.99,Other disorders of soft tissue,R22.9,"Localized swelling, mass and lump, unspecified",Finding,N,NULL,MTERMS
A/N U/S scan abnormal,NULL,169665005,Antenatal ultrasound scan abnormal,C0420948,263216017,A/N U/S scan abnormal,2,793.99,Other nonspecific (abnormal) findings on radiological and other examinations of body structure,O28.3,Abnormal ultrasonic finding on antenatal screening of mother,Finding,N,NULL,MTERMS
AA - Alcohol abuse,13,15167005,Alcohol abuse,C0085762,477199015,AA - Alcohol abuse,2,305,"Alcohol abuse, unspecified",F10.10,"Alcohol abuse, uncomplicated",Mental or Behavioral Dysfunction,N,Alcohol Use,MTERMS
AA - Alopecia areata,1369,68225006,Alopecia areata,C0002171,500958011,AA - Alopecia areata,2,704.01,Alopecia areata,L63.9,"Alopecia areata, unspecified",Disease or Syndrome,N,NULL,MTERMS
AA - Aortic aneurysm,NULL,67362008,Aortic aneurysm,C0003486,500717014,AA - Aortic aneurysm,2,441.9,Dilatation of aorta,I71.9,"Aortic aneurysm of unspecified site, without rupture",Disease or Syndrome,N,NULL,MTERMS
