Abbr,AbbrText,Comment,Synonyms,nlp_Problem_Id,nlp_Problem_Term,nlp_TermLength,PPL_Id,Snomed_Concept_Id,UMLS_CUI,Snomed_Description_Id,Snomed_Description_Type,ICD9_Code,ICD9_Description,ICD10_Code,ICD10_Description,TTY,STY,Excluded,ProblemCategory,ProblemSubCategory
-,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,,NULL
+,Positive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,,NULL
A FIB,atrial fibrillation,NULL,NULL,128,atrial fibrillation,19,33,49436004,C0004238,82343012,1,427.31,Atrial fibrillation,I48.0,Atrial fibrillation,NULL,NULL,N,,NULL
AAA,abdominal aortic aneurysm,NULL,NULL,1,abdominal aortic aneurysm,25,1,233985008,C0162871,350580017,1,441.4,Abdominal aortic aneurysm without mention of rupture,I71.4,Abdominal aortic aneurysm; without rupture,NULL,NULL,N,,NULL
ABG,arterial blood gas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
ACL,anterior cruciate ligament,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
ACUS,atypical cells of uncertain significance,NULL,NULL,17212,Atypical cells of uncertain significance,40,595,103635003,NULL,167356018,2,NULL,NULL,NULL,NULL,NULL,NULL,Y,,NULL
ADD,attention deficit disorder,NULL,NULL,132,attention deficit disorder ,26,1234,406506008,C0339002,486108019,2,314.01,Attention deficit disorder of childhood with hyperactivity,,,NULL,NULL,N,,NULL
ADHD,attention-deficit hyperactivity disorder,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
A-E,above-the-elbow amputation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
AEA,above-the-elbow amputation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
AF,atrial fibrillation,NULL,NULL,128,atrial fibrillation,19,33,49436004,C0004238,82343012,1,427.31,Atrial fibrillation,I48.0,Atrial fibrillation,NULL,NULL,N,,NULL
AFEB,afebrile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
AFIB,atrial fibrillation,NULL,NULL,128,atrial fibrillation,19,33,49436004,C0004238,82343012,1,427.31,Atrial fibrillation,I48.0,Atrial fibrillation,NULL,NULL,N,,NULL
A-fib,atrial fibrillation,NULL,NULL,128,atrial fibrillation,19,33,49436004,C0004238,82343012,1,427.31,Atrial fibrillation,I48.0,Atrial fibrillation,NULL,NULL,N,,NULL
AFLUT,atrial flutter,NULL,NULL,129,atrial flutter,14,34,5370000,C0004239,9988012,1,427.32,Atrial flutter,I48.1,Atrial flutter,NULL,NULL,N,,NULL
AGCUS,atypical glandular cells of undetermined significance,NULL,NULL,17805,Atypical glandular cells of undetermined significance,53,890,4476003,NULL,194856014,1,NULL,NULL,NULL,NULL,NULL,NULL,Y,,NULL
AGS,adrenogenital syndrome,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
AGVHD,acute graft versus host disease,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
AI,aortic insufficiency,NULL,NULL,97,aortic insufficiency,20,22,60234000,C0003504,1232061017,2,424.1,Aortic valve disorders,,,NULL,NULL,N,,NULL
AIMS,abnormal involuntary movement scale,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
A-K,above-the-knee,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
AKA,above knee amputation,NULL,NULL,17,above knee amputation,21,540,79733001,C0002691,504195017,2,,,,,NULL,NULL,N,,NULL
ALD,alcoholic liver disease,NULL,NULL,10750,Alcoholic liver disease,23,NULL,41309000,C1442981,68909012,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
AMD,Age related Macular Degeneration,NULL,Synonym for ARMD,56,age related macular degeneration,32,1414,267718000,C0242383,399670012,1,362.5,Macular degeneration (senile) of retina; unspecified,H35.30,Unspecified macular degeneration (age-related),NULL,NULL,N,,NULL
AML,acute myeloblastic leukemia,NULL,NULL,31,acute myeloblastic leukemia,27,569,91861009,NULL,NULL,NULL,205,Acute myeloid leukemia without mention of having achieved remission,,,NULL,NULL,N,,NULL
Amnio,amniocentesis,NULL,NULL,8749,Amniocentesis,13,NULL,34536000,C0002627,57637019,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
AOM,acute otitis media,NULL,NULL,8286,Acute otitis media,18,NULL,3110003,C0271429,6258014,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
APPY,appendectomy,NULL,NULL,101,appendectomy,12,24,80146002,C0003611,132968018,2,,,,,NULL,NULL,N,,NULL
APRV,airway pressure release ventilation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
AR,aortic regurgitation,NULL,NULL,13652,Aortic regurgitation,20,22,60234000,C0003504,100062010,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
ARF,acute renal failure,NULL,NULL,34,acute renal failure,19,490,14669001,C0022660,2920634011,2,584.9,Acute kidney failure; unspecified,N17.9,Acute kidney failure; unspecified,NULL,NULL,N,,NULL
ARI,acute renal insufficiency,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
ARMD,Age related Macular degeneration,NULL,NULL,56,age related macular degeneration,32,1414,267718000,C0242383,399670012,1,362.5,Macular degeneration (senile) of retina; unspecified,H35.30,Unspecified macular degeneration (age-related),NULL,NULL,N,,NULL
ASCUS,atypical squamous cells of undetermined significance,NULL,NULL,9845,Atypical squamous cells of undetermined significance,52,847,39035006,C0521184,197434013,1,NULL,NULL,NULL,NULL,NULL,NULL,Y,,NULL
ASCVD,arteriosclerotic cardiovascular disease,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
ASHD,arteriosclerotic heart disease,NULL,NULL,13012,Arteriosclerotic heart disease,30,91,53741008,C0010054,2536393012,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
AST,aspartate aminotransferase,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
ATN,acute tubular necrosis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
AVB,atrioventricular block,NULL,NULL,5378,Atrioventricular block,22,NULL,233917008,C0004245,350475012,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
AVM,arteriovenous malformation,NULL,NULL,106,arteriovenous malformation,26,575,234141001,C0003857,350802019,2,747.6,Congenital anomaly of the peripheral vascular system; unspecified site,,,NULL,NULL,N,,NULL
AVNERP,atrioventricular node effective refractory period,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
