Concept_Name,TermType,Template_ID,LOINC_Code,LOINC_Code2,Excluded,Compound,Notes
#1 HTN:,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
#1: ,Number One Section,N/A,N/A,NULL,N,NULL,?
#1HTN,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,NULL,NULL,NULL
#2: ,Number Two Section,N/A,N/A,NULL,N,NULL,?
#3: ,Number Three Section,N/A,N/A,NULL,N,NULL,?
*Medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
*Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
*Procedures,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
1 ????Procedure,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,prefix
13 Describes correct use of diabetes medications and potential SE,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,prefix
14 States potential complications of diabetes and strategies for reducing risk,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,prefix
5 - Have you started taking any new medications since your last visit?,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,prefix
8 Describes correct use of diabetes medications and potential SE,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,prefix
A Biopsy Result,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,prefix
Actions/Interventions,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Active Medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Activities After Discharge,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,NULL
Activity,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,NULL
Acute Complications of Diabetes,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Addendum,Addendum,N/A,55107-7,NULL,N,NULL,NULL
Addendum Additional,Addendum,N/A,55107-7,NULL,N,NULL,NULL
Addendum Report,Addendum,N/A,55107-7,NULL,N,NULL,NULL
Additional Info,Addendum,N/A,55107-7,NULL,N,NULL,NULL
ADDITIONAL KEY TESTS/DIAGNOSTIC RESULTS,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Additional Lab Findings,Findings Section,2.16.840.1.113883.10.20.6.1.2,18782-3,NULL,N,NULL,NULL
Additional Medical Diagnoses,Diagnosis Section,NULL,29548-5,NULL,N,NULL,NULL
Additional Narrative,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Additional Notes,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Additional Recommendations,Plan of Care Section,2.16.840.1.113883.10.20.22.2.10,18776-5,NULL,N,NULL,NULL
Additional Skin Issues,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
ADHD Diagnostic Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
ADHD Diagnostic Assessment/Teacher,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Admission Date,Admission Date,NULL,52455-3,NULL,N,NULL,NULL
admission diagnosis,Hospital Admission Diagnosis Section,2.16.840.1.113883.10.20.22.4.34,46241-6,NULL,N,NULL,NULL
ADMISSION EXAM,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
admission medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
ADMISSION Physical Examination,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
ADMISSION PRESENTATION,Hospital Admission Diagnosis Section,2.16.840.1.113883.10.20.22.4.34,46241-6,NULL,N,NULL,NULL
admission/discharge diagnosis,Diagnosis Section,NULL,29548-5,NULL,N,NULL,NULL
admit diagnosis,Hospital Admission Diagnosis Section,2.16.840.1.113883.10.20.22.4.34,46241-6,NULL,N,NULL,NULL
admitting diagnoses,Hospital Admission Diagnosis Section,2.16.840.1.113883.10.20.22.4.34,46241-6,NULL,N,NULL,NULL
ADRs/,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,Y,Added 12/13/2013
Adult Family History,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Advance Directives,Advance Directives Section,2.16.840.1.113883.10.20.22.2.21,42348-3,NULL,N,NULL,NULL
Adverse drug reactions/drug allergies,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
